gene1,gene2,gene1_coef,gene2_coef,interaction_coef,gene1_pval,gene2_pval,interaction_pval,roc_auc,aic,bic,model_type,converged,lspc_coverage,hspc_coverage,specificity_ratio,lspc_n_both,hspc_n_both,mean_gene1_lspc,mean_gene1_hspc,mean_gene2_lspc,mean_gene2_hspc,corr_gene1_gene2_lspc,corr_gene1_gene2_hspc,anchor_lspc_coverage,anchor_specificity,efficacy_retention,specificity_gain,interaction_qval
EMB,MYH9,0.27197385727315976,-0.005427525495871841,0.0015430656488026543,3.656806078559008e-19,0.9090022345017241,0.6345278009712612,0.730504399042074,25513.18444704968,25545.181637479207,logit_clustered,True,0.3266037121458808,0.09776909632980364,3.3371485422249845,4012,951,4.532162607033113,1.1849952348860404,3.7312330277622907,3.4884272953857542,0.0670992926532437,0.06489580308579695,0.5970367958319766,3.526617899055299,0.5461264497805965,-0.18946935683031452,0.7017176691986701
EMB,TMEM219,0.24615276680452072,0.0006707376001166676,0.008722345991721827,4.368576194145459e-21,0.9878463636274099,1.1730519266376232e-05,0.7411814825759181,25443.4423403997,25475.439530829226,logit_clustered,True,0.3375936177140996,0.08574072170247764,3.932790999639925,4147,834,4.532162607033113,1.1849952348860404,3.737165006029641,3.231941248357515,0.08418958433137716,0.01399920090255242,0.5970367958319766,3.526617899055299,0.5645030875473913,0.40617310058462586,0.00016422726972926724
EMB,PTTG1IP,0.2736256572520492,0.021231339622346333,0.0009116526062831351,1.0391243835753228e-17,0.5678886266881011,0.7458303147957799,0.7471265281688635,25483.515501189686,25515.512691619213,logit_clustered,True,0.3005535656138066,0.08409581577053563,3.569697173941813,3692,818,4.532162607033113,1.1849952348860404,3.552262153652866,3.1388819164988795,0.022838057346839993,0.027575445980949652,0.5970367958319766,3.526617899055299,0.5025670121111572,0.043079274886514085,0.7640212980834818
EMB,M6PR,0.2576176293390631,0.020718623464600183,0.0057574786850080805,5.0427012593412334e-21,0.5920535748546489,0.031696922310201485,0.7439366062774572,25433.786864187896,25465.784054617423,logit_clustered,True,0.30942689677629437,0.07525444638634728,4.1062858479490645,3801,732,4.532162607033113,1.1849952348860404,3.402661771058669,2.76028458683164,0.0701328776071414,0.027670415018641193,0.5970367958319766,3.526617899055299,0.5174044455673099,0.5796679488937655,0.0832044210642789
EMB,RALY,0.2642794976686454,-0.01887427396735668,0.003960717077320425,3.429645290366163e-21,0.6914931268229216,0.16357487613952726,0.733739673349454,25498.81393615652,25530.811126586046,logit_clustered,True,0.30625203516769783,0.09273157191323121,3.299007318910302,3762,902,4.532162607033113,1.1849952348860404,3.506041869366202,3.5212273446476936,0.024111311634198565,0.01930689496934906,0.5970367958319766,3.526617899055299,0.512095639101347,-0.2276105801449968,0.2714256892013095
EMB,BSG,0.2584213692927535,-0.040967676247241694,0.005579153752006505,1.2949753036124115e-19,0.22583853627409856,0.027087171188566676,0.7402935326534213,25446.192104499707,25478.189294929234,logit_clustered,True,0.3199283620970368,0.09931119564099929,3.2182327154819124,3930,966,4.532162607033113,1.1849952348860404,3.6273280286412484,3.8447814519558867,0.046831473654149025,0.01626114830104259,0.5970367958319766,3.526617899055299,0.5349643438778027,-0.3083851835733866,0.07584407932798669
EMB,LAMP2,0.2545332449235991,0.07861646851633039,0.004618264830349501,2.6394469120598033e-18,0.009305484471184549,0.16802542664842968,0.7604072077852364,25070.526407671285,25102.52359810081,logit_clustered,True,0.3407684793226962,0.06631027038141256,5.131261736559248,4186,645,4.532162607033113,1.1849952348860404,3.767546373512381,2.298749664840381,0.11751572190229918,0.05304978449943327,0.5970367958319766,3.526617899055299,0.5698118940133543,1.6046438375039487,0.2714256892013095
EMB,CTSD,0.24800301523065568,-0.019047324301757717,0.008258210856366573,7.575078694643538e-18,0.6763544857870796,0.003618597717505792,0.7329080143200817,25469.244837326623,25501.24202775615,logit_clustered,True,0.33384890915011395,0.08995579315307906,3.70713418272414,4101,875,4.532162607033113,1.1849952348860404,3.7062055940451875,3.4164076424817957,0.10489553074869937,0.02233376030858373,0.5970367958319766,3.526617899055299,0.5582414183824094,0.1805162836688412,0.01899763801690541
EMB,TMED2,0.24600378524332572,-0.014992619358318252,0.008509050576429047,4.989299023313191e-20,0.7517491034333557,0.00045155006157289137,0.7319370549977259,25466.31306246719,25498.310252896717,logit_clustered,True,0.34394334093129275,0.09293718515472396,3.6968373490589106,4225,904,4.532162607033113,1.1849952348860404,3.8942580871065817,3.677362703607251,0.05917311194756758,-0.002138710845347258,0.5970367958319766,3.526617899055299,0.5751207004793172,0.1702194500036116,0.00316085043101024
EMB,CREG1,0.25015642251018205,-0.033385178945470814,0.007735745172723555,2.048214410703859e-17,0.4546400221596091,0.004527265052029156,0.739143653488862,25459.792960598927,25491.790151028454,logit_clustered,True,0.3400358189514816,0.09735786984681813,3.489054495916456,4177,947,4.532162607033113,1.1849952348860404,3.737685847907702,3.6445567465125075,0.10187739782887503,0.03246474342994218,0.5970367958319766,3.526617899055299,0.5685867848289012,-0.03756340313884321,0.021127236909469396
EMB,IL18,0.25493234321107744,0.0725294869490061,0.004557944152279455,6.689843232360138e-23,0.04827802310491463,0.10914603248457737,0.7582474527575792,25135.528577807345,25167.525768236872,logit_clustered,True,0.33458156952132856,0.07062814845276036,4.730529171773767,4110,687,4.532162607033113,1.1849952348860404,3.6588852908949083,2.2911842443682886,0.10135727709556408,0.06542112926049917,0.5970367958319766,3.526617899055299,0.5594665275668623,1.2039112727184684,0.21829206496915474
EMB,GLIPR1,0.2550713545037424,0.027542599036896112,0.004287917203076334,5.943601825179896e-20,0.41411610355102735,0.16147776702993077,0.7492698043430324,25418.091244882668,25450.088435312195,logit_clustered,True,0.37886681862585475,0.09561015729412974,3.958480785498532,4654,930,4.532162607033113,1.1849952348860404,4.381810334211938,3.3990294152393195,0.14658701194100382,0.0751757356912323,0.5970367958319766,3.526617899055299,0.6335175716049093,0.43186288644323323,0.2714256892013095
