baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
2.302113294,0.436731944,0.270346282,1.615453859,0.106212445,0.349233512,IL15RA
8.587131263,0.435238705,0.225363902,1.931270719,0.053449582,0.232099002,LRRC8C
4.670802565,0.432922668,0.206952706,2.091891795,0.036448196,0.188831044,SLC10A3
16.70264037,0.431359236,0.172068653,2.506901916,0.01217945,0.09357097,IFNGR1
5.234198345,0.429940927,0.385387025,1.115608205,0.264589878,0.535208387,TLR2
26.58250307,0.429533782,0.131371158,3.269620124,0.00107692,0.020010676,TNFRSF1A
4.983629854,0.426849182,0.318452762,1.340384613,0.180120336,0.447059771,ATP11A
12.17248733,0.421935918,0.187516056,2.250132216,0.024440554,0.153319178,SLC6A6
5.933912156,0.421473948,0.276423196,1.524741606,0.12732356,0.385642203,EPDR1
7.57134809,0.416566793,0.279190611,1.492051585,0.135685623,0.391825933,SPNS2
32.52684047,0.415970877,0.138616687,3.000871591,0.002692081,0.034693104,GNPTAB
4.527630383,0.415013828,0.204459749,2.029806989,0.042376162,0.199167962,OSTM1
6.290138947,0.413498914,0.194161498,2.129664827,0.033199295,0.178028433,SLC33A1
7.888092412,0.410189423,0.16850593,2.434272924,0.014921739,0.109380455,RNFT1
10.27270876,0.402765247,0.195403506,2.061197655,0.039284187,0.193753491,SPPL2A
10.23835268,0.3995572,0.193182794,2.068285645,0.038613171,0.192824522,LRP10
16.02833752,0.399118811,0.133817998,2.98254955,0.002858584,0.036254101,TMEM30A
9.694053868,0.397951741,0.23345422,1.70462432,0.088264513,0.316248186,GXYLT1
24.89261029,0.396808142,0.148441925,2.673154103,0.007514172,0.063870465,CLTC
7.040473598,0.393746661,0.156905642,2.509448704,0.012091978,0.09357097,SLC52A2
8.559686956,0.387824153,0.243204501,1.594642167,0.110792277,0.3569477,SCARF1
15.0940293,0.385346374,0.184426757,2.089427699,0.03666924,0.188831044,TMCO3
4.889096288,0.38035152,0.171650377,2.21585019,0.026701764,0.160411348,DNASE1L1
11.59532863,0.378978429,0.421910639,0.898243359,0.369055822,0.647723498,LGALS3BP
4.075538406,0.3773208,0.24815649,1.520495394,0.128386516,0.385642203,PLTP
7.014403299,0.373993241,0.194832578,1.919562139,0.05491323,0.237165789,CLPTM1L
16.76911054,0.373008524,0.18718561,1.992720082,0.046292107,0.212571228,IFNGR2
9.036559233,0.36906501,0.228242182,1.616988615,0.105880738,0.349233512,MGAT4B
3.157185854,0.368867393,0.385815609,0.956071719,0.339036002,0.615658558,GPR132
2.818246435,0.367074904,0.327236304,1.121742605,0.261971896,0.531257728,LRFN4
10.82694136,0.360613138,0.195977082,1.840078108,0.065756771,0.260097326,LIPA
6.339065721,0.357675153,0.239814693,1.491464714,0.135839529,0.391825933,IL10RB
149.0882307,0.356926394,0.301144379,1.185233457,0.235925155,0.515038795,CD52
4.094928027,0.351711574,0.372157797,0.945060338,0.344628072,0.622291625,AMN
10.46305147,0.346040856,0.307377617,1.125784173,0.260256885,0.529122777,EMILIN2
29.60079032,0.343626643,0.157369022,2.183572339,0.028993688,0.165471119,GALNT1
7.872220389,0.343108978,0.237328873,1.445711068,0.148258259,0.403676868,ST3GAL4
4.186794388,0.343034598,0.236857709,1.448272884,0.147540748,0.403676868,TTYH3
12.43489621,0.338411076,0.154791586,2.186236886,0.028798279,0.165471119,PSENEN
5.802318369,0.33286342,0.273770053,1.21585037,0.224041927,0.502835673,SLC7A6
5.097777034,0.332100828,0.222556955,1.492206021,0.135645145,0.391825933,PNPLA6
11.61783078,0.32686728,0.274826223,1.189359865,0.234298087,0.514119271,CD79B
15.59654397,0.324411955,0.244628918,1.326139028,0.184793651,0.44878458,ADAM8
3.899375546,0.323133407,0.223573836,1.445309579,0.148370948,0.403676868,ATRN
3.044526402,0.322522945,0.303095031,1.064098425,0.287284114,0.560630268,SLC29A1
31.19970747,0.319236858,0.13035183,2.449040097,0.01432375,0.108313559,TM9SF2
10.45491123,0.318185805,0.295027033,1.078497119,0.280811967,0.551376563,IL17RA
5.696380892,0.31788826,0.174590278,1.820767244,0.068642246,0.268848795,HS2ST1
8.119262393,0.317821398,0.238537777,1.332373435,0.182737507,0.447875055,ADCY7
3.310445997,0.317537832,0.416078672,0.763167769,0.445363348,0.701055352,SLC2A6
4.885733303,0.315411779,0.299434293,1.053358905,0.292176531,0.565251934,SEL1L3
26.60370161,0.312414873,0.139219534,2.244044807,0.024829519,0.153789034,RAB5C
7.719424901,0.30835609,0.172389169,1.788720784,0.073659794,0.278929741,PIGS
4.958171939,0.306228649,0.215115905,1.423551868,0.154576237,0.411688046,FAM20B
4.197363705,0.304828901,0.372579904,0.81815712,0.413267476,0.688096321,SEMA4A
7.792026684,0.304631284,0.26459966,1.15129129,0.249612419,0.523725268,PDGFC
9.17133759,0.296694209,0.229646128,1.291962602,0.196370096,0.464674174,TRPV2
7.352175741,0.295611907,0.203408672,1.453290584,0.14614309,0.403676868,SLC43A3
8.020541873,0.29324398,0.209740336,1.398128686,0.162074427,0.425978511,TGFBR1
10.7771898,0.289451602,0.186269741,1.553937858,0.12019924,0.371025007,RYK
