Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Human cytomegalovirus infection,0.26781526262189115,1.2522027082205558,0.07142857142857142,0.2747651844651781,1.0,27/129,14.11%,RHOA;GNG5;GNAI2;RAC2;TNFRSF1A;BAX;GNB1;RAC1;KRAS;CCL5;GNB2;MAPK1;EIF4EBP1;CALM2;MYC;ROCK2;FADD;BID;MAP2K2;GNB4;CALM1;NRAS;GNAS;PXN;AKT1;BAK1;CALM3
prerank,Regulation of lipolysis in adipocytes,-0.3750683852724258,-1.2493641785082799,0.14960629921259844,0.43631177791267983,1.0,10/24,25.00%,ABHD5;IRS2;PTGS2;PIK3R1;INSR;AKT2;PTGS1;AKT3;PIK3CB;ADRB2
prerank,Th17 cell differentiation,-0.30707243739985096,-1.2459774820201204,0.12109375,0.42937671122564025,1.0,6/59,2.81%,JUN;FOS;STAT3;NFKBIB;IL6ST;NFKBIA
prerank,VEGF signaling pathway,0.34144341323045524,1.244801005639199,0.18049792531120332,0.28329176846606763,1.0,10/35,13.83%,RAC2;CDC42;RAC1;KRAS;MAPK1;MAPKAPK3;MAP2K2;NRAS;PXN;AKT1
prerank,Oxytocin signaling pathway,0.29604672789349895,1.2411293673490835,0.11222444889779559,0.2857364325887264,1.0,19/70,16.53%,RHOA;MYL6;GNAI2;PPP1CA;ACTG1;CAMK1D;KRAS;MAPK1;CALM2;ROCK2;CACNA2D4;MAP2K2;CALM1;NRAS;GNAS;CALM3;PPP1CC;GNAI3;EEF2
prerank,Hepatitis C,0.27726949085812025,1.2400784339433344,0.1028225806451613,0.28420466761716695,1.0,31/100,21.99%,YWHAB;TNFRSF1A;BAX;YWHAH;KRAS;EIF2S1;YWHAE;MAPK1;MYC;PPP2CB;OAS1;FADD;BID;MAP2K2;NR1H3;NRAS;AKT1;BAK1;EIF2AK1;OAS2;TRADD;IFNAR1;MAVS;YWHAQ;YWHAG;HRAS;PPP2R1A;FAS;PIK3CA;JAK1;IKBKG
prerank,Vascular smooth muscle contraction,0.3132702949167135,1.2360597745469317,0.14084507042253522,0.2873655745724566,1.0,12/49,15.37%,RHOA;MYL6;PPP1CA;MAPK1;CALM2;ROCK2;MAP2K2;CALM1;GNAS;CALM3;PRKCD;PPP1CC
prerank,Apelin signaling pathway,0.2953798573525423,1.23202895998843,0.12452830188679245,0.29176485187365375,1.0,21/66,23.60%,GNG5;GNAI2;GNB1;KRAS;GNB2;MAPK1;CALM2;MAP2K2;GNB4;CALM1;NRAS;AKT1;CALM3;SMAD2;GNAI3;BECN1;HRAS;GABARAPL2;SMAD3;TGFBR1;ACTA2
prerank,Nicotinate and nicotinamide metabolism,-0.3918574690304211,-1.2262108882632325,0.18867924528301888,0.4633745914311945,1.0,7/20,24.38%,NAMPT;SIRT1;SIRT7;NMRK1;NT5C2;NADSYN1;BST1
prerank,Hypertrophic cardiomyopathy,0.3664451516156968,1.2204482379558796,0.185546875,0.3066541720008123,1.0,8/26,19.63%,TPM3;ACTG1;CACNA2D4;TGFB1;TPM4;LMNA;ITGB7;ITGB1
prerank,Porphyrin and chlorophyll metabolism,0.4071627352079236,1.2201589789162286,0.2125506072874494,0.3037183362058796,1.0,8/17,36.72%,HMOX2;COX15;UROS;FXN;FECH;HCCS;CPOX;MMAB
prerank,MAPK signaling pathway,-0.25461970562718944,-1.2156842833001973,0.08695652173913043,0.4753794120197728,1.0,37/149,19.27%,JUN;FOS;DUSP1;NR4A1;GADD45B;AREG;JUND;DDIT3;EREG;BRAF;RAF1;SRF;MAP3K3;MAP3K4;RAPGEF2;PPM1B;MAP3K5;MAPK8IP3;MAPKAPK2;DUSP10;INSR;MAP3K11;STK3;DUSP2;MAP3K8;MAP2K7;AKT2;ATF2;TAOK2;TAOK3;TAB2;RASA2;MAP4K3;STK4;AKT3;GADD45A;ATF4
prerank,GABAergic synapse,0.3620576181329492,1.2150795854364456,0.1977401129943503,0.3087685769011488,1.0,7/25,15.70%,GNG5;GNAI2;GNB1;GNB2;GNB4;SLC38A1;GNAI3
prerank,Fc epsilon RI signaling pathway,0.3220911073003812,1.2141573929658527,0.15734989648033126,0.30709895019625955,1.0,12/44,13.83%,RAC2;BTK;RAC1;KRAS;FCER1G;ALOX5AP;MAPK1;MAPK9;MAP2K2;NRAS;LYN;AKT1
prerank,Non-small cell lung cancer,-0.30691569769006793,-1.2105316131690003,0.17519685039370078,0.47259980809095253,1.0,15/48,19.24%,GADD45B;STAT3;FOXO3;BRAF;EML4;RAF1;PIK3R1;PLCG2;AKT2;STAT5B;RXRB;STK4;FHIT;AKT3;GADD45A
prerank,Chemokine signaling pathway,0.2736106780016832,1.209520336636033,0.136986301369863,0.3112841466563816,1.0,23/95,16.51%,RHOA;GNG5;GNAI2;RAC2;CDC42;GNB1;RAC1;KRAS;CCL5;GNB2;RAP1B;RAP1A;MAPK1;ROCK2;GNB4;NRAS;WAS;PXN;LYN;AKT1;PRKCD;GNAI3;ARRB2
prerank,Renin secretion,0.36154350576966626,1.2061184871475297,0.20267686424474188,0.31358147178664453,1.0,7/26,15.70%,GNAI2;ORAI1;CALM2;CALM1;GNAS;CALM3;GNAI3
prerank,Endocrine and other factor-regulated calcium reabsorption,0.3696808204145439,1.203235440097418,0.22924901185770752,0.3151542719061305,1.0,7/23,21.45%,AP2M1;CLTA;CLTC;RAB11A;GNAS;AP2S1;AP2B1
