gene,lspc_pct,hspc_pct,log2FC,padj
HNRNPK,82.83946597199609,84.0649737843117,0.0031733232672618,0.9818994244467288
HNRNPU,78.23184630413546,78.74987149172406,-0.2753972433353642,0.1656825013953333
HP,0.11396939107782482,0.020561324149275213,,
HPX,0.12211006186909801,0.041122648298550425,,
HRH1,0.5942689677629437,0.1542099311195641,,
HRH2,5.861282969716704,1.3467667317775265,,
HRH4,0.48029957668511886,0.5654364141050684,,
HS2ST1,11.209703679583198,13.282615400431787,0.3178882599714597,0.2688487951380008
HS6ST1,7.6440898730055356,6.980569548678935,-0.0861836378460014,0.8521148135862666
HSD17B1,2.067730380983393,1.7374318906137556,,
HSD17B12,38.01693259524585,31.469106610465715,-0.1094875521553271,0.6880963208208429
HSD17B6,0.2605014653207424,0.3289811863884034,,
HSP90AA1,89.28687723868447,90.14084507042253,,
HSP90AB1,93.46304135460763,96.01110311504061,,
HSP90B1,62.267990882448714,69.41503032795312,,
HSPA13,12.341256919570172,11.319008944176005,,
HSPA8,79.30641484858353,79.57232445769507,,
HSPD1,66.3708889612504,73.14691066104658,,
HSPG2,10.721263432106806,5.952503341215174,,
HTR1F,7.627808531422989,16.736917857510022,-0.6160331529417413,0.1908101285162175
HTR2A,0.040703353956366005,0.4729104554333299,,
HTR7,0.21979811136437644,0.20561324149275215,,
HYAL2,7.831325301204819,2.6832528014804153,0.826710437863575,0.1116681744032108
HYOU1,11.299251058287203,11.750796751310784,0.0692029724541823,0.902627835418072
ICAM1,8.360468902637578,15.698570987971625,-0.2867156340106115,0.6880963208208429
ICAM2,27.67014001953761,25.78390048319112,0.0290515644520964,0.9507649451295568
ICAM3,58.36046890263758,65.49809807751619,-0.1222003538933848,0.7208940709819386
ICAM4,9.874633669814393,16.541585278091908,-0.4003779120055482,0.4036768681258835
ICAM5,1.864213611201563,2.4776395599876633,,
ICOS,0.18723542819928363,0.34954251053767865,,
ICOSLG,5.706610224682514,2.282306980569549,0.0213790762433698,0.9812674663147508
IDH2,38.10647997394985,40.48524724992289,0.1294820100116923,0.5852260585653882
IFI30,5.885704982090524,5.263698982214454,-0.5371680509843588,0.5237252681356537
IFNAR1,23.55096059915337,16.181762105479592,0.164943368489895,0.5285457117730757
IFNAR2,23.892868772386844,20.52020150097666,0.0529162115773686,0.8897262424472383
IFNG,0.07326603712145881,0.10280662074637607,,
IFNGR1,30.30771735591013,19.2453994037216,0.4313592355863576,0.0935709695474018
IFNGR2,28.060892217518724,16.32569137452452,0.3730085240340355,0.2125712275705454
IFNK,0.024422012373819604,0.0,,
IFNL1,0.04884402474763921,0.0,,
IFNLR1,0.05698469553891241,0.11308728282101367,,
IGF1,0.3500488440247476,0.041122648298550425,,
IGF1R,7.37544773689352,11.668551454713684,,
IGF2R,4.949527841094106,1.1308728282101368,,
IGFLR1,8.743080429827417,8.111442376889071,,
IGSF6,0.9361771409964181,0.24673588979130257,,
IGSF8,8.62097036795832,9.756348308831088,,
IL10,0.32562683165092804,0.11308728282101367,,
