anchor,partner,anchor_lspc,anchor_hspc,partner_lspc,partner_hspc,dual_lspc,dual_hspc,anchor_specificity,dual_specificity,efficacy_loss,efficacy_retention,specificity_gain_abs,specificity_gain_ratio,composite_score
EMP3,EEF1D,70.35981764897427,68.28415749974299,83.27092152393357,89.83242520818341,62.82969716704657,64.01768273876837,1.030382300124871,0.9814275220786168,7.530120481927703,89.29769755871804,-0.048954778046254255,0.9524887238063761,0.44404074889127754
CTSC,PTPRC,60.485183979159885,40.74226380178884,82.39986974926734,64.63452246324664,52.2793878215565,30.430759740927314,1.4845443966740897,1.7179219429511519,8.205796157603388,86.43337819650068,0.2333775462770622,1.1572048278245577,0.4438357682963565
IL2RG,CD47,44.51318788668186,16.305130050375244,72.37056333441876,45.71810424591344,34.98860306089222,9.345121825845585,2.729843791823401,3.743649367391661,9.524584825789645,78.60277980980248,1.0138055755682602,1.3713786036420377,0.44370417782742544
CD9,CD63,38.18788668186259,11.29844762002673,69.96906545099316,68.3149994859669,32.06610224682514,8.32733628045646,3.379624205185019,3.8502410525944395,6.121784435037448,83.96930292048603,0.47061684740942056,1.1392512358881204,0.4433773569729012
CTSA,HNRNPK,36.144578313253014,24.046468592577362,82.83946597199609,84.0649737843117,32.14750895473787,21.795003598231727,1.5030512743619766,1.4749267593874844,3.997069358515141,88.94144144144146,-0.0281245149744922,0.9812883861953208,0.4433009814584826
IL1RAP,RTN4,31.773038098339303,10.157294129741956,76.70954086616737,65.66258867071039,27.06773038098339,7.792741852575306,3.1277926876829283,3.4730083306569015,4.705307717355911,85.19087881117089,0.3452156429739732,1.1103703721584275,0.4432151762045531
CD9,CD164,38.18788668186259,11.29844762002673,78.06903288830999,77.09468489770741,32.98599804623901,9.160069908502107,3.379624205185019,3.6006709233411396,5.201888635623575,86.37817096567896,0.22104671815612065,1.065405709255186,0.4429431907362008
IL3RA,EMP3,33.46629762292413,11.833042047907885,70.35981764897427,68.28415749974299,28.55747313578639,9.06754394983037,2.827968456377132,3.149069276586631,4.908824487137743,85.33203600097299,0.3211008202094989,1.1135446965419327,0.4427152210153399
PLP2,RTN4,58.83262780853142,35.468284157499745,76.70954086616737,65.66258867071039,50.64311299251058,26.647476097460675,1.6586922799819646,1.9004130970677287,8.18951481602084,86.07997786079979,0.2417208170857641,1.1457297534949595,0.44248593015828713
CAPNS1,RTN4,43.14555519374797,22.524930605530997,76.70954086616737,65.66258867071039,36.917942038423966,16.71635653336075,1.9153728185220478,2.208360033762002,6.227613155324001,85.56603773584905,0.2929872152399542,1.1529661548951242,0.44247954944124296
